Dağıtılan Enerji (MWh),month,year,date,hour,o_clock,season,HourControl
2282.7775726414693,1,2018,2018-01-03,19:00:00,19,Winter,Night
2203.550733811499,1,2018,2018-01-03,20:00:00,20,Winter,Night
2103.526435383751,1,2018,2018-01-03,21:00:00,21,Winter,Night
2019.3662880660468,1,2018,2018-01-03,22:00:00,22,Winter,Night
1884.9620048128224,1,2018,2018-01-03,23:00:00,23,Winter,Night
1655.0693177839,1,2018,2018-01-04,00:00:00,0,Winter,Night
1484.9681859449126,1,2018,2018-01-04,01:00:00,1,Winter,Night
1367.1654746002262,1,2018,2018-01-04,02:00:00,2,Winter,Night
1311.0841826162523,1,2018,2018-01-04,03:00:00,3,Winter,Night
1289.223806617818,1,2018,2018-01-04,04:00:00,4,Winter,Night
1306.4085516537498,1,2018,2018-01-04,05:00:00,5,Winter,Night
1418.9865834406453,1,2018,2018-01-04,06:00:00,6,Winter,Night
1646.893217343738,1,2018,2018-01-04,07:00:00,7,Winter,Daytime
1944.7252928595772,1,2018,2018-01-04,08:00:00,8,Winter,Daytime
2169.548418482089,1,2018,2018-01-04,09:00:00,9,Winter,Daytime
2252.8019416595025,1,2018,2018-01-04,10:00:00,10,Winter,Daytime
2299.283181427375,1,2018,2018-01-04,11:00:00,11,Winter,Daytime
2206.102639862333,1,2018,2018-01-04,12:00:00,12,Winter,Daytime
2245.557568868969,1,2018,2018-01-04,13:00:00,13,Winter,Daytime
2260.7863774293137,1,2018,2018-01-04,14:00:00,14,Winter,Daytime
2253.314648996297,1,2018,2018-01-04,15:00:00,15,Winter,Daytime
2275.44636310297,1,2018,2018-01-04,16:00:00,16,Winter,Daytime
2313.1907235355457,1,2018,2018-01-04,17:00:00,17,Winter,Daytime
2319.626664351124,1,2018,2018-01-04,18:00:00,18,Winter,Daytime
2276.649928202632,1,2018,2018-01-04,19:00:00,19,Winter,Night
2214.376609364086,1,2018,2018-01-04,20:00:00,20,Winter,Night
2103.494642647556,1,2018,2018-01-04,21:00:00,21,Winter,Night
2008.7975540285493,1,2018,2018-01-04,22:00:00,22,Winter,Night
1868.290004412298,1,2018,2018-01-04,23:00:00,23,Winter,Night
1657.9692399347723,1,2018,2018-01-05,00:00:00,0,Winter,Night
1474.0485548284742,1,2018,2018-01-05,01:00:00,1,Winter,Night
1350.2447077382026,1,2018,2018-01-05,02:00:00,2,Winter,Night
1295.5712030719326,1,2018,2018-01-05,03:00:00,3,Winter,Night
1292.777919147743,1,2018,2018-01-05,04:00:00,4,Winter,Night
1300.159135550649,1,2018,2018-01-05,05:00:00,5,Winter,Night
1406.4250482902146,1,2018,2018-01-05,06:00:00,6,Winter,Night
1639.974190970571,1,2018,2018-01-05,07:00:00,7,Winter,Daytime
1960.258627071799,1,2018,2018-01-05,08:00:00,8,Winter,Daytime
2159.3018034895413,1,2018,2018-01-05,09:00:00,9,Winter,Daytime
2227.8075656638234,1,2018,2018-01-05,10:00:00,10,Winter,Daytime
2247.584539118687,1,2018,2018-01-05,11:00:00,11,Winter,Daytime
2146.106334022155,1,2018,2018-01-05,12:00:00,12,Winter,Daytime
2072.4517750507025,1,2018,2018-01-05,13:00:00,13,Winter,Daytime
2086.855941520777,1,2018,2018-01-05,14:00:00,14,Winter,Daytime
2062.3196011088557,1,2018,2018-01-05,15:00:00,15,Winter,Daytime
2071.156461676653,1,2018,2018-01-05,16:00:00,16,Winter,Daytime
2139.231241768864,1,2018,2018-01-05,17:00:00,17,Winter,Daytime
2266.1397032221635,1,2018,2018-01-05,18:00:00,18,Winter,Daytime
2268.269787960739,1,2018,2018-01-05,19:00:00,19,Winter,Night
2199.006488675461,1,2018,2018-01-05,20:00:00,20,Winter,Night
2090.6760622023244,1,2018,2018-01-05,21:00:00,21,Winter,Night
2026.2176513863728,1,2018,2018-01-05,22:00:00,22,Winter,Night
1923.8462712277417,1,2018,2018-01-05,23:00:00,23,Winter,Night
1734.399324681415,1,2018,2018-01-06,00:00:00,0,Winter,Night
1569.742311530168,1,2018,2018-01-06,01:00:00,1,Winter,Night
1439.3754594773934,1,2018,2018-01-06,02:00:00,2,Winter,Night
1379.257549906466,1,2018,2018-01-06,03:00:00,3,Winter,Night
1358.8047844324446,1,2018,2018-01-06,04:00:00,4,Winter,Night
1362.4132456512352,1,2018,2018-01-06,05:00:00,5,Winter,Night
1402.8960644132217,1,2018,2018-01-06,06:00:00,6,Winter,Night
1532.7377892909635,1,2018,2018-01-06,07:00:00,7,Winter,Daytime
1773.880911590701,1,2018,2018-01-06,08:00:00,8,Winter,Daytime
2030.969040543439,1,2018,2018-01-06,09:00:00,9,Winter,Daytime
2166.826060001808,1,2018,2018-01-06,10:00:00,10,Winter,Daytime
2226.323754657496,1,2018,2018-01-06,11:00:00,11,Winter,Daytime
2129.0922483929417,1,2018,2018-01-06,12:00:00,12,Winter,Daytime
2065.313164133082,1,2018,2018-01-06,13:00:00,13,Winter,Daytime
2005.4532138552563,1,2018,2018-01-06,14:00:00,14,Winter,Daytime
1933.673643767299,1,2018,2018-01-06,15:00:00,15,Winter,Daytime
1908.201441430372,1,2018,2018-01-06,16:00:00,16,Winter,Daytime
1965.968432393008,1,2018,2018-01-06,17:00:00,17,Winter,Daytime
2177.8650343035515,1,2018,2018-01-06,18:00:00,18,Winter,Daytime
2198.110880449729,1,2018,2018-01-06,19:00:00,19,Winter,Night
2123.4236234114824,1,2018,2018-01-06,20:00:00,20,Winter,Night
2036.7908817385771,1,2018,2018-01-06,21:00:00,21,Winter,Night
1978.7870595494587,1,2018,2018-01-06,22:00:00,22,Winter,Night
1882.7940673622795,1,2018,2018-01-06,23:00:00,23,Winter,Night
1733.1397194427852,1,2018,2018-01-07,00:00:00,0,Winter,Night
1551.458952331792,1,2018,2018-01-07,01:00:00,1,Winter,Night
1417.8300565381276,1,2018,2018-01-07,02:00:00,2,Winter,Night
1326.354281237199,1,2018,2018-01-07,03:00:00,3,Winter,Night
1273.4534195888953,1,2018,2018-01-07,04:00:00,4,Winter,Night
1258.9835082875925,1,2018,2018-01-07,05:00:00,5,Winter,Night
1291.347212172719,1,2018,2018-01-07,06:00:00,6,Winter,Night
1339.690212339992,1,2018,2018-01-07,07:00:00,7,Winter,Daytime
1409.034903007078,1,2018,2018-01-07,08:00:00,8,Winter,Daytime
1558.108434638981,1,2018,2018-01-07,09:00:00,9,Winter,Daytime
1723.3516181774812,1,2018,2018-01-07,10:00:00,10,Winter,Daytime
1804.7811753322328,1,2018,2018-01-07,11:00:00,11,Winter,Daytime
1784.6208529261971,1,2018,2018-01-07,12:00:00,12,Winter,Daytime
1745.4381592400214,1,2018,2018-01-07,13:00:00,13,Winter,Daytime
1687.1492129903024,1,2018,2018-01-07,14:00:00,14,Winter,Daytime
1645.3167720203485,1,2018,2018-01-07,15:00:00,15,Winter,Daytime
1654.4400132481553,1,2018,2018-01-07,16:00:00,16,Winter,Daytime
1759.3667206803575,1,2018,2018-01-07,17:00:00,17,Winter,Daytime
2013.1935187823349,1,2018,2018-01-07,18:00:00,18,Winter,Daytime
2089.462609556468,1,2018,2018-01-07,19:00:00,19,Winter,Night
2050.207988697575,1,2018,2018-01-07,20:00:00,20,Winter,Night
2002.273587608494,1,2018,2018-01-07,21:00:00,21,Winter,Night
1939.6140067956728,1,2018,2018-01-07,22:00:00,22,Winter,Night
1810.840269772636,1,2018,2018-01-07,23:00:00,23,Winter,Night
1607.5362257214267,1,2018,2018-01-08,00:00:00,0,Winter,Night
1428.0869389683903,1,2018,2018-01-08,01:00:00,1,Winter,Night
1304.3750687882211,1,2018,2018-01-08,02:00:00,2,Winter,Night
1251.4470975471434,1,2018,2018-01-08,03:00:00,3,Winter,Night
1241.2533783666,1,2018,2018-01-08,04:00:00,4,Winter,Night
1266.3979203490087,1,2018,2018-01-08,05:00:00,5,Winter,Night
1382.4922426310216,1,2018,2018-01-08,06:00:00,6,Winter,Night
1645.699528929569,1,2018,2018-01-08,07:00:00,7,Winter,Daytime
1975.8288088521929,1,2018,2018-01-08,08:00:00,8,Winter,Daytime
2202.336462089016,1,2018,2018-01-08,09:00:00,9,Winter,Daytime
2283.0013211456703,1,2018,2018-01-08,10:00:00,10,Winter,Daytime
2281.910584253158,1,2018,2018-01-08,11:00:00,11,Winter,Daytime
2127.563690080067,1,2018,2018-01-08,12:00:00,12,Winter,Daytime
2089.709805230123,1,2018,2018-01-08,13:00:00,13,Winter,Daytime
2062.9546804297565,1,2018,2018-01-08,14:00:00,14,Winter,Daytime
2017.3371440033727,1,2018,2018-01-08,15:00:00,15,Winter,Daytime
2041.3895306656968,1,2018,2018-01-08,16:00:00,16,Winter,Daytime
2091.1586606024075,1,2018,2018-01-08,17:00:00,17,Winter,Daytime
2198.5895190358005,1,2018,2018-01-08,18:00:00,18,Winter,Daytime
2230.184236838856,1,2018,2018-01-08,19:00:00,19,Winter,Night
2188.974455826401,1,2018,2018-01-08,20:00:00,20,Winter,Night
2092.799165647423,1,2018,2018-01-08,21:00:00,21,Winter,Night
1994.627919025285,1,2018,2018-01-08,22:00:00,22,Winter,Night
1879.8710790932705,1,2018,2018-01-08,23:00:00,23,Winter,Night
1679.664137595972,1,2018,2018-01-09,00:00:00,0,Winter,Night
1507.535878000817,1,2018,2018-01-09,01:00:00,1,Winter,Night
1402.5576496073031,1,2018,2018-01-09,02:00:00,2,Winter,Night
1348.6207090461407,1,2018,2018-01-09,03:00:00,3,Winter,Night
1326.4960033767406,1,2018,2018-01-09,04:00:00,4,Winter,Night
1337.7720061250814,1,2018,2018-01-09,05:00:00,5,Winter,Night
1435.737708969822,1,2018,2018-01-09,06:00:00,6,Winter,Night
1677.815256270309,1,2018,2018-01-09,07:00:00,7,Winter,Daytime
2001.0143858021747,1,2018,2018-01-09,08:00:00,8,Winter,Daytime
2228.8045549830927,1,2018,2018-01-09,09:00:00,9,Winter,Daytime
2311.547030876794,1,2018,2018-01-09,10:00:00,10,Winter,Daytime
2347.094367571612,1,2018,2018-01-09,11:00:00,11,Winter,Daytime
2200.3501853668417,1,2018,2018-01-09,12:00:00,12,Winter,Daytime
2174.1903046861107,1,2018,2018-01-09,13:00:00,13,Winter,Daytime
2166.612301354695,1,2018,2018-01-09,14:00:00,14,Winter,Daytime
2145.307427786456,1,2018,2018-01-09,15:00:00,15,Winter,Daytime
2154.2832233866807,1,2018,2018-01-09,16:00:00,16,Winter,Daytime
2192.8365372397548,1,2018,2018-01-09,17:00:00,17,Winter,Daytime
2268.116450808743,1,2018,2018-01-09,18:00:00,18,Winter,Daytime
2279.038204542249,1,2018,2018-01-09,19:00:00,19,Winter,Night
2201.3874346087346,1,2018,2018-01-09,20:00:00,20,Winter,Night
2108.283259989728,1,2018,2018-01-09,21:00:00,21,Winter,Night
2023.5513031350888,1,2018,2018-01-09,22:00:00,22,Winter,Night
1815.440554611049,1,2018,2018-01-09,23:00:00,23,Winter,Night
1698.512543317505,1,2018,2018-01-10,00:00:00,0,Winter,Night
1513.331423048014,1,2018,2018-01-10,01:00:00,1,Winter,Night
1381.7067747256142,1,2018,2018-01-10,02:00:00,2,Winter,Night
1322.136294146486,1,2018,2018-01-10,03:00:00,3,Winter,Night
1330.2927881570672,1,2018,2018-01-10,04:00:00,4,Winter,Night
1349.805090552963,1,2018,2018-01-10,05:00:00,5,Winter,Night
1451.698051086635,1,2018,2018-01-10,06:00:00,6,Winter,Night
1690.051238552455,1,2018,2018-01-10,07:00:00,7,Winter,Daytime
2021.4888421616968,1,2018,2018-01-10,08:00:00,8,Winter,Daytime
2244.871594670084,1,2018,2018-01-10,09:00:00,9,Winter,Daytime
2332.593937110488,1,2018,2018-01-10,10:00:00,10,Winter,Daytime
2413.5398345239746,1,2018,2018-01-10,11:00:00,11,Winter,Daytime
2277.4578055028783,1,2018,2018-01-10,12:00:00,12,Winter,Daytime
2264.325235766242,1,2018,2018-01-10,13:00:00,13,Winter,Daytime
2257.234566402399,1,2018,2018-01-10,14:00:00,14,Winter,Daytime
2222.6868392417614,1,2018,2018-01-10,15:00:00,15,Winter,Daytime
2240.28915570595,1,2018,2018-01-10,16:00:00,16,Winter,Daytime
2272.1427218771023,1,2018,2018-01-10,17:00:00,17,Winter,Daytime
2331.8822720830635,1,2018,2018-01-10,18:00:00,18,Winter,Daytime
2305.6978716919293,1,2018,2018-01-10,19:00:00,19,Winter,Night
2234.6254743715367,1,2018,2018-01-10,20:00:00,20,Winter,Night
2144.0141661667667,1,2018,2018-01-10,21:00:00,21,Winter,Night
2059.1589031784724,1,2018,2018-01-10,22:00:00,22,Winter,Night
1916.0050058732893,1,2018,2018-01-10,23:00:00,23,Winter,Night
1661.8967672071528,1,2018,2018-01-11,00:00:00,0,Winter,Night
1493.9223782735726,1,2018,2018-01-11,01:00:00,1,Winter,Night
1384.7823718835632,1,2018,2018-01-11,02:00:00,2,Winter,Night
1327.7096929089803,1,2018,2018-01-11,03:00:00,3,Winter,Night
1319.2466333251566,1,2018,2018-01-11,04:00:00,4,Winter,Night
1323.7011404626917,1,2018,2018-01-11,05:00:00,5,Winter,Night
1421.756428550074,1,2018,2018-01-11,06:00:00,6,Winter,Night
1656.3655120205897,1,2018,2018-01-11,07:00:00,7,Winter,Daytime
1950.743599516523,1,2018,2018-01-11,08:00:00,8,Winter,Daytime
2188.2645115110786,1,2018,2018-01-11,09:00:00,9,Winter,Daytime
2303.957066436016,1,2018,2018-01-11,10:00:00,10,Winter,Daytime
2361.0907280249107,1,2018,2018-01-11,11:00:00,11,Winter,Daytime
2219.669874149175,1,2018,2018-01-11,12:00:00,12,Winter,Daytime
2230.9237284219303,1,2018,2018-01-11,13:00:00,13,Winter,Daytime
2201.6506935110115,1,2018,2018-01-11,14:00:00,14,Winter,Daytime
2126.506658585632,1,2018,2018-01-11,15:00:00,15,Winter,Daytime
2113.395878670392,1,2018,2018-01-11,16:00:00,16,Winter,Daytime
2151.411453896259,1,2018,2018-01-11,17:00:00,17,Winter,Daytime
2244.4177629314418,1,2018,2018-01-11,18:00:00,18,Winter,Daytime
2252.5403543800458,1,2018,2018-01-11,19:00:00,19,Winter,Night
2189.115392770871,1,2018,2018-01-11,20:00:00,20,Winter,Night
2102.8220328381067,1,2018,2018-01-11,21:00:00,21,Winter,Night
2020.1362702609183,1,2018,2018-01-11,22:00:00,22,Winter,Night
1917.7755842546571,1,2018,2018-01-11,23:00:00,23,Winter,Night
1694.2702010285489,1,2018,2018-01-12,00:00:00,0,Winter,Night
1527.5723078593364,1,2018,2018-01-12,01:00:00,1,Winter,Night
1413.6274736416028,1,2018,2018-01-12,02:00:00,2,Winter,Night
1347.4005638077524,1,2018,2018-01-12,03:00:00,3,Winter,Night
1321.443570852701,1,2018,2018-01-12,04:00:00,4,Winter,Night
1342.7634164743968,1,2018,2018-01-12,05:00:00,5,Winter,Night
1442.8503636144872,1,2018,2018-01-12,06:00:00,6,Winter,Night
1657.7547546953676,1,2018,2018-01-12,07:00:00,7,Winter,Daytime
1933.5294727559683,1,2018,2018-01-12,08:00:00,8,Winter,Daytime
2148.827318600468,1,2018,2018-01-12,09:00:00,9,Winter,Daytime
2258.4210395391174,1,2018,2018-01-12,10:00:00,10,Winter,Daytime
2308.2080691909277,1,2018,2018-01-12,11:00:00,11,Winter,Daytime
2216.739679715341,1,2018,2018-01-12,12:00:00,12,Winter,Daytime
2159.1413223257723,1,2018,2018-01-12,13:00:00,13,Winter,Daytime
2154.311824070542,1,2018,2018-01-12,14:00:00,14,Winter,Daytime
2084.0465226824726,1,2018,2018-01-12,15:00:00,15,Winter,Daytime
2086.7862541998093,1,2018,2018-01-12,16:00:00,16,Winter,Daytime
2091.015555994224,1,2018,2018-01-12,17:00:00,17,Winter,Daytime
2186.415880820316,1,2018,2018-01-12,18:00:00,18,Winter,Daytime
2201.1923453103623,1,2018,2018-01-12,19:00:00,19,Winter,Night
2134.5371295210184,1,2018,2018-01-12,20:00:00,20,Winter,Night
2039.922632002424,1,2018,2018-01-12,21:00:00,21,Winter,Night
1955.4511225991428,1,2018,2018-01-12,22:00:00,22,Winter,Night
1867.3549016312625,1,2018,2018-01-12,23:00:00,23,Winter,Night
1711.8607254217968,1,2018,2018-01-13,00:00:00,0,Winter,Night
1532.7777655433051,1,2018,2018-01-13,01:00:00,1,Winter,Night
1404.6909286206812,1,2018,2018-01-13,02:00:00,2,Winter,Night
1335.849633535854,1,2018,2018-01-13,03:00:00,3,Winter,Night
1307.4367233654502,1,2018,2018-01-13,04:00:00,4,Winter,Night
1311.9199087820011,1,2018,2018-01-13,05:00:00,5,Winter,Night
1338.5588468324618,1,2018,2018-01-13,06:00:00,6,Winter,Night
1451.5121632838209,1,2018,2018-01-13,07:00:00,7,Winter,Daytime
1682.7660109282444,1,2018,2018-01-13,08:00:00,8,Winter,Daytime
1912.31910658206,1,2018,2018-01-13,09:00:00,9,Winter,Daytime
2138.6653480642817,1,2018,2018-01-13,10:00:00,10,Winter,Daytime
2240.036619728986,1,2018,2018-01-13,11:00:00,11,Winter,Daytime
2202.275992130326,1,2018,2018-01-13,12:00:00,12,Winter,Daytime
2213.6888617024447,1,2018,2018-01-13,13:00:00,13,Winter,Daytime
2206.6052328735973,1,2018,2018-01-13,14:00:00,14,Winter,Daytime
2167.0502421315173,1,2018,2018-01-13,15:00:00,15,Winter,Daytime
2088.958688085004,1,2018,2018-01-13,16:00:00,16,Winter,Daytime
2076.8503150232787,1,2018,2018-01-13,17:00:00,17,Winter,Daytime
2194.867406327338,1,2018,2018-01-13,18:00:00,18,Winter,Daytime
2193.130243633336,1,2018,2018-01-13,19:00:00,19,Winter,Night
2101.020863527479,1,2018,2018-01-13,20:00:00,20,Winter,Night
1996.3310789467853,1,2018,2018-01-13,21:00:00,21,Winter,Night
1914.327774281332,1,2018,2018-01-13,22:00:00,22,Winter,Night
1834.1961253747336,1,2018,2018-01-13,23:00:00,23,Winter,Night
1682.4062612215473,1,2018,2018-01-14,00:00:00,0,Winter,Night
1503.1767847104038,1,2018,2018-01-14,01:00:00,1,Winter,Night
1360.3082315071988,1,2018,2018-01-14,02:00:00,2,Winter,Night
1273.3681344747715,1,2018,2018-01-14,03:00:00,3,Winter,Night
1241.0002033200194,1,2018,2018-01-14,04:00:00,4,Winter,Night
1224.646699173094,1,2018,2018-01-14,05:00:00,5,Winter,Night
1244.4416149198698,1,2018,2018-01-14,06:00:00,6,Winter,Night
1307.6346000824474,1,2018,2018-01-14,07:00:00,7,Winter,Daytime
1376.855018651435,1,2018,2018-01-14,08:00:00,8,Winter,Daytime
1556.314038125456,1,2018,2018-01-14,09:00:00,9,Winter,Daytime
1757.5210215541538,1,2018,2018-01-14,10:00:00,10,Winter,Daytime
1885.7748233552693,1,2018,2018-01-14,11:00:00,11,Winter,Daytime
1898.504139542448,1,2018,2018-01-14,12:00:00,12,Winter,Daytime
1946.3443232833383,1,2018,2018-01-14,13:00:00,13,Winter,Daytime
1892.50276591092,1,2018,2018-01-14,14:00:00,14,Winter,Daytime
1856.087327500564,1,2018,2018-01-14,15:00:00,15,Winter,Daytime
1871.4721303305344,1,2018,2018-01-14,16:00:00,16,Winter,Daytime
1945.1037533152576,1,2018,2018-01-14,17:00:00,17,Winter,Daytime
2144.453920572053,1,2018,2018-01-14,18:00:00,18,Winter,Daytime
2197.3027661926253,1,2018,2018-01-14,19:00:00,19,Winter,Night
2134.545838333732,1,2018,2018-01-14,20:00:00,20,Winter,Night
2066.8189629765902,1,2018,2018-01-14,21:00:00,21,Winter,Night
2007.6156170351844,1,2018,2018-01-14,22:00:00,22,Winter,Night
1893.0999457999264,1,2018,2018-01-14,23:00:00,23,Winter,Night
1660.1957993751753,1,2018,2018-01-15,00:00:00,0,Winter,Night
1467.554301573685,1,2018,2018-01-15,01:00:00,1,Winter,Night
1347.934381077377,1,2018,2018-01-15,02:00:00,2,Winter,Night
1292.5296085010043,1,2018,2018-01-15,03:00:00,3,Winter,Night
1273.6118867448376,1,2018,2018-01-15,04:00:00,4,Winter,Night
1297.2864617049595,1,2018,2018-01-15,05:00:00,5,Winter,Night
1418.1318125254727,1,2018,2018-01-15,06:00:00,6,Winter,Night
1693.5034896352756,1,2018,2018-01-15,07:00:00,7,Winter,Daytime
2056.904648727113,1,2018,2018-01-15,08:00:00,8,Winter,Daytime
2318.970877300796,1,2018,2018-01-15,09:00:00,9,Winter,Daytime
2409.313422944779,1,2018,2018-01-15,10:00:00,10,Winter,Daytime
2458.5524429088478,1,2018,2018-01-15,11:00:00,11,Winter,Daytime
2324.4272280882,1,2018,2018-01-15,12:00:00,12,Winter,Daytime
2310.7547433660257,1,2018,2018-01-15,13:00:00,13,Winter,Daytime
2292.399626950665,1,2018,2018-01-15,14:00:00,14,Winter,Daytime
2235.946078314133,1,2018,2018-01-15,15:00:00,15,Winter,Daytime
2247.302960313252,1,2018,2018-01-15,16:00:00,16,Winter,Daytime
2309.358792065406,1,2018,2018-01-15,17:00:00,17,Winter,Daytime
2406.1712349638688,1,2018,2018-01-15,18:00:00,18,Winter,Daytime
2416.229509229615,1,2018,2018-01-15,19:00:00,19,Winter,Night
2353.0300381980032,1,2018,2018-01-15,20:00:00,20,Winter,Night
2231.688522536804,1,2018,2018-01-15,21:00:00,21,Winter,Night
2134.555366098341,1,2018,2018-01-15,22:00:00,22,Winter,Night
2020.8179584035229,1,2018,2018-01-15,23:00:00,23,Winter,Night
1792.4995115371785,1,2018,2018-01-16,00:00:00,0,Winter,Night
1581.0651955099545,1,2018,2018-01-16,01:00:00,1,Winter,Night
1460.2445564017166,1,2018,2018-01-16,02:00:00,2,Winter,Night
1408.4986375982865,1,2018,2018-01-16,03:00:00,3,Winter,Night
1381.8069232211726,1,2018,2018-01-16,04:00:00,4,Winter,Night
1390.9244826248275,1,2018,2018-01-16,05:00:00,5,Winter,Night
1486.1528923378523,1,2018,2018-01-16,06:00:00,6,Winter,Night
1711.930980929502,1,2018,2018-01-16,07:00:00,7,Winter,Daytime
2047.2553465348635,1,2018,2018-01-16,08:00:00,8,Winter,Daytime
2293.38449307612,1,2018,2018-01-16,09:00:00,9,Winter,Daytime
2412.017049968257,1,2018,2018-01-16,10:00:00,10,Winter,Daytime
2502.4160127810774,1,2018,2018-01-16,11:00:00,11,Winter,Daytime
2396.180611450104,1,2018,2018-01-16,12:00:00,12,Winter,Daytime
2436.873426715032,1,2018,2018-01-16,13:00:00,13,Winter,Daytime
2463.5353563058666,1,2018,2018-01-16,14:00:00,14,Winter,Daytime
2438.010682448472,1,2018,2018-01-16,15:00:00,15,Winter,Daytime
2419.9084317005045,1,2018,2018-01-16,16:00:00,16,Winter,Daytime
2401.0833495304764,1,2018,2018-01-16,17:00:00,17,Winter,Daytime
2411.2565670783674,1,2018,2018-01-16,18:00:00,18,Winter,Daytime
2410.5185448767274,1,2018,2018-01-16,19:00:00,19,Winter,Night
